Time,HeartRate
2019-10-11 16:49:04,96
2019-10-11 16:49:54,96
2019-10-11 16:50:52,96
2019-10-11 16:50:58,95
2019-10-11 16:51:03,97
2019-10-11 16:51:08,94
2019-10-11 16:51:10,94
2019-10-11 16:51:14,93
2019-10-11 16:51:19,92
2019-10-11 16:51:24,93
2019-10-11 16:51:30,91
2019-10-11 16:51:34,92
2019-10-11 16:51:40,90
2019-10-11 16:51:44,91
2019-10-11 16:51:53,90
2019-10-11 16:51:54,90
2019-10-11 16:52:00,90
2019-10-11 16:52:06,89
2019-10-11 16:52:10,85
2019-10-11 16:52:17,85
2019-10-11 16:52:21,85
2019-10-11 16:52:38,81
2019-10-11 16:52:43,83
2019-10-11 16:52:45,81
2019-10-11 16:53:23,68
2019-10-11 16:53:28,68
2019-10-11 16:53:33,69
2019-10-11 16:53:37,69
2019-10-11 16:53:39,69
2019-10-11 16:53:48,69
2019-10-11 16:53:50,69
2019-10-11 16:53:58,71
2019-10-11 16:54:02,69
2019-10-11 16:54:04,69
2019-10-11 16:54:09,68
2019-10-11 16:54:18,67
2019-10-11 16:54:23,67
2019-10-11 16:54:26,67
2019-10-11 16:54:29,67
2019-10-11 16:54:35,68
2019-10-11 16:54:40,70
2019-10-11 16:54:48,69
2019-10-11 16:54:50,69
2019-10-11 16:54:54,68
2019-10-11 16:54:59,68
2019-10-11 16:55:08,69
2019-10-11 16:55:13,69
2019-10-11 16:55:18,68
2019-10-11 16:55:23,68
2019-10-11 16:55:24,69
2019-10-11 16:55:29,70
2019-10-11 16:55:38,72
2019-10-11 16:55:39,72
2019-10-11 16:55:48,72
2019-10-11 16:55:49,72
2019-10-11 16:55:58,71
2019-10-11 16:56:02,70
2019-10-11 16:56:07,67
2019-10-11 16:56:13,67
2019-10-11 16:56:14,67
2019-10-11 16:56:19,69
2019-10-11 16:56:28,72
2019-10-11 16:56:31,71
2019-10-11 16:56:34,71
2019-10-11 16:56:39,73
2019-10-11 16:56:48,72
2019-10-11 16:56:53,69
2019-10-11 16:56:57,68
2019-10-11 16:56:59,70
2019-10-11 16:57:04,73
2019-10-11 16:57:10,74
2019-10-11 16:57:16,74
2019-10-11 16:57:19,75
2019-10-11 16:57:28,76
2019-10-11 16:57:33,75
2019-10-11 16:57:34,75
2019-10-11 16:57:40,73
2019-10-11 16:57:44,74
2019-10-11 16:57:53,68
2019-10-11 16:57:58,68
2019-10-11 16:57:59,67
2019-10-11 16:58:08,67
2019-10-11 16:58:13,67
2019-10-11 16:58:15,67
2019-10-11 16:58:23,65
2019-10-11 16:58:24,65
2019-10-11 16:58:29,67
2019-10-11 16:58:38,68
2019-10-11 16:58:43,67
2019-10-11 16:58:48,66
2019-10-11 16:58:49,66
2019-10-11 16:58:54,67
2019-10-11 16:59:03,68
2019-10-11 16:59:04,68
2019-10-11 16:59:10,67
2019-10-11 16:59:14,68
2019-10-11 16:59:20,69
2019-10-11 16:59:24,70
2019-10-11 16:59:29,70
2019-10-11 16:59:35,70
2019-10-11 16:59:42,69
2019-10-11 16:59:48,66
2019-10-11 16:59:53,67
2019-10-11 16:59:58,65
2019-10-11 17:00:01,65
2019-10-11 17:00:04,67
2019-10-11 17:00:09,68
2019-10-11 17:00:18,70
2019-10-11 17:00:21,72
2019-10-11 17:00:24,73
2019-10-11 17:00:33,71
2019-10-11 17:00:38,69
2019-10-11 17:00:43,69
2019-10-11 17:00:46,69
2019-10-11 17:00:53,68
2019-10-11 17:00:57,69
2019-10-11 17:00:59,69
2019-10-11 17:01:07,68
2019-10-11 17:01:13,71
2019-10-11 17:01:18,70
2019-10-11 17:01:19,70
2019-10-11 17:01:28,69
2019-10-11 17:01:29,69
2019-10-11 17:01:34,73
2019-10-11 17:01:42,73
2019-10-11 17:01:46,74
2019-10-11 17:01:53,70
2019-10-11 17:01:58,67
2019-10-11 17:02:00,66
2019-10-11 17:02:08,66
2019-10-11 17:02:13,65
2019-10-11 17:02:14,65
2019-10-11 17:02:19,67
2019-10-11 17:02:24,68
2019-10-11 17:02:33,68
2019-10-11 17:02:38,68
2019-10-11 17:02:43,66
2019-10-11 17:02:44,66
2019-10-11 17:02:53,61
2019-10-11 17:02:58,60
2019-10-11 17:03:02,60
2019-10-11 17:03:08,63
2019-10-11 17:03:09,63
2019-10-11 17:03:17,63
2019-10-11 17:03:21,63
2019-10-11 17:03:25,64
2019-10-11 17:03:33,63
2019-10-11 17:03:36,63
2019-10-11 17:03:43,62
2019-10-11 17:03:48,62
2019-10-11 17:03:50,62
2019-10-11 17:03:54,62
2019-10-11 17:04:03,64
