Timestamp,Activity,Details
Fri May 31 12:50:16.486 2019,MouseMove,
Fri May 31 12:50:16.490 2019,MouseMove,
Fri May 31 12:50:16.501 2019,MouseMove,
Fri May 31 12:50:16.510 2019,MouseMove,
Fri May 31 12:50:16.516 2019,MouseMove,
Fri May 31 12:50:16.526 2019,MouseMove,
Fri May 31 12:50:16.531 2019,MouseMove,
Fri May 31 12:50:16.540 2019,MouseMove,
Fri May 31 12:50:16.550 2019,MouseMove,
Fri May 31 12:50:16.557 2019,MouseMove,
Fri May 31 12:50:16.566 2019,MouseMove,
Fri May 31 12:50:16.570 2019,MouseMove,
Fri May 31 12:50:16.580 2019,MouseMove,
Fri May 31 12:50:16.587 2019,MouseMove,
Fri May 31 12:50:16.596 2019,MouseMove,
Fri May 31 12:50:16.607 2019,MouseMove,
Fri May 31 12:50:16.613 2019,MouseMove,
Fri May 31 12:50:16.623 2019,MouseMove,
Fri May 31 12:50:16.627 2019,MouseMove,
Fri May 31 12:50:16.637 2019,MouseMove,
Fri May 31 12:50:16.646 2019,MouseMove,
Fri May 31 12:50:16.697 2019,MouseMove,
Fri May 31 12:50:16.703 2019,MouseMove,
Fri May 31 12:50:16.712 2019,MouseMove,
Fri May 31 12:50:16.718 2019,MouseMove,
Fri May 31 12:50:16.819 2019,MouseMove,
Fri May 31 12:50:16.839 2019,MouseMove,
Fri May 31 12:50:16.849 2019,MouseMove,
Fri May 31 12:50:16.854 2019,MouseMove,
Fri May 31 12:50:16.864 2019,MouseMove,
Fri May 31 12:50:16.879 2019,MouseMove,
Fri May 31 12:50:16.908 2019,MouseMove,
Fri May 31 12:50:16.974 2019,MouseMove,
Fri May 31 12:50:16.984 2019,MouseMove,
Fri May 31 12:50:16.994 2019,MouseMove,
Fri May 31 12:50:17.001 2019,MouseMove,
Fri May 31 12:50:17.010 2019,MouseMove,
Fri May 31 12:50:17.014 2019,MouseMove,
Fri May 31 12:50:17.025 2019,MouseMove,
Fri May 31 12:50:17.035 2019,MouseMove,
Fri May 31 12:50:17.050 2019,MouseMove,
Fri May 31 12:50:17.056 2019,MouseMove,
Fri May 31 12:50:17.071 2019,MouseMove,
Fri May 31 12:50:17.449 2019,MouseClick,Left
Fri May 31 12:50:27.284 2019,MouseMove,
Fri May 31 12:50:27.340 2019,MouseMove,
Fri May 31 13:02:22.983 2019,MouseMove,
Fri May 31 13:02:22.998 2019,MouseMove,
Fri May 31 13:02:23.002 2019,MouseMove,
Fri May 31 13:02:23.012 2019,MouseMove,
Fri May 31 13:02:23.018 2019,MouseMove,
Fri May 31 13:02:23.029 2019,MouseMove,
Fri May 31 13:02:23.039 2019,MouseMove,
Fri May 31 13:02:23.042 2019,MouseMove,
Fri May 31 13:02:23.052 2019,MouseMove,
Fri May 31 13:02:23.058 2019,MouseMove,
Fri May 31 13:02:23.068 2019,MouseMove,
Fri May 31 13:02:23.078 2019,MouseMove,
Fri May 31 13:02:23.084 2019,MouseMove,
Fri May 31 13:02:23.094 2019,MouseMove,
Fri May 31 13:02:23.098 2019,MouseMove,
Fri May 31 13:02:23.108 2019,MouseMove,
Fri May 31 13:02:23.114 2019,MouseMove,
Fri May 31 13:02:23.124 2019,MouseMove,
Fri May 31 13:02:23.134 2019,MouseMove,
Fri May 31 13:02:23.138 2019,MouseMove,
Fri May 31 13:02:23.148 2019,MouseMove,
Fri May 31 13:02:23.154 2019,MouseMove,
Fri May 31 13:02:23.164 2019,MouseMove,
Fri May 31 13:02:23.175 2019,MouseMove,
Fri May 31 13:02:23.179 2019,MouseMove,
Fri May 31 13:02:23.189 2019,MouseMove,
Fri May 31 13:02:23.195 2019,MouseMove,
Fri May 31 13:02:23.205 2019,MouseMove,
Fri May 31 13:02:23.211 2019,MouseMove,
Fri May 31 13:02:23.221 2019,MouseMove,
Fri May 31 13:02:23.230 2019,MouseMove,
Fri May 31 13:02:23.235 2019,MouseMove,
Fri May 31 13:02:23.245 2019,MouseMove,
Fri May 31 13:02:23.251 2019,MouseMove,
Fri May 31 13:02:23.261 2019,MouseMove,
Fri May 31 13:02:23.264 2019,MouseMove,
